vtd_2012,sha
20179000050,0f4eae3bcc886894e1d65b49b25ec577c1935f2d544b44969d9e2e30148838d5
20179000060,e9a8c9b4ed817398e9a1e8ceb0b484e4fc9b91b50ac4d9514de54f99c8e9c155
20179000140,da3dc826c6c49c90f7ab7fa083723a91dc1dae36a0bbfd3194db79ef7c9dc43e
20179000070,5d7bfc7f03c953ac21778a293cb951115f7053e28525d891e65e4741e03d2afb
20179000040,4c4c332378a31d50cccee209332207e6199ee83ad7f1b6aa8c356858b037e692
20179000090,3fb5ed090ccd39ec4df23ddb00c0363e576346bc1180e869c187c784a0444258
20039000230,a2fe1f083e14530f6d228272e3c8faff9cf322b2aebe5ba7e30eab5c1df6bb63
20039000270,cf36494f6b34365c1fdc00b25b162a0d125206471c276e534ae493aac9c836e1
20039000200,9f29f5d1c6feddda4d1f51e6a7df4f558242fb9bfd717d3d60a0bf26fa6a8c3c
20039000180,d664a0c400082a929c0c8ce78da82f5eb7d6ceb555dae84f3a4f478b1e1e59fd
20039000080,e88f18a0fa8524e07bd7fc0d26a1192f9adba2626d73b791209a739c14656b2d
20039000070,70076729c8ffa5a9321c7919727bbde2a4992ed833206f24d55ddeeac1a33d98
2003900019A,9d7250080199fad69d138349d0d09f987a25362ac9a46194b6603348f1371a15
2003900019B,ee75b8c1d6abcc17e930d58cece23949ed2224fead7b8a2b4f179cd817f1f00b
20039000050,58afed7abdcc1422261514f2fbc92daf989eaac7efceaae02a11b5f29a2f96e6
20179000130,26d6be71f3756b6cbf7fbd0bf4c55309a56ea59299a4ca891d78565f5a39d821
20179000030,ba3cb3805b18766d60948f608b63ce0b9518b062a0ea735c486fc781cbcee353
20179000120,02bf99fdd81d3c5529fe4c82712612315558d332778beb102ed825efcc4f5750
20179000010,7ab5c61a2444c66b6e990cf5775e3de6bd96bcd83e1bec270ad25722e96755dc
20039000170,daa76a95b2631e1a59981d0e74427a665b5dcaf52b3daa1f97791f66ccc38c94
20039000130,d023d00028645cb3fe7e8341043fef28301f26325c78b9a77688fe7a952c45e8
20039000020,384b643b4474a928d1f5f67a258c9dbc06cf5a1f718e44a32ae48eea9d3bb816
20039000010,16027747c797fc5aeec341bb08117b0fa857100e5e105ddb555b77672cd98827
20039000220,7fbe06ce48b48f0bbb5ac8d7d0f00fee7db246266a8fad0cff05cb817ee995fa
20039000100,b02487d9a69d35f36c83f5c031c5e622306d1444ad84bbe940d4c25a737b6aa9
20195000010,cb510e7785c89b5feea314ed73516c90c05eb290221e35bbd2f0c0d21d3ca5cd
20195000020,936e9ad957df9f3e658004f828fb6bdca10a0f4cfca6a00c453ece24013bdad3
20195000090,e590bb560975f3a7716e9e14521ff3c0a916c3418abb69f32c0099472d48571d
20195000070,6f80c8ed19a911bab3c0da1057128ddf9abc0c59ce428a684b1bad6ed17f9bf6
20065000030,5acc6e61d68f6a72a67931316d795f57a4e1dfc280e221435d9c94b7959d78ee
20065000160,c393a45b08dbd8d6012fc216a584ec4f997b76a4613d84afdd16676a9315aef1
20065000060,7b39763214032cdeff6adcc3aa0ff2c2b326792d68a04b61e4b2757c566c6f36
20175000100,2ea96af7ba5c5f581ecbfede55aa7edc809987d0d042ab06c226222a9b25d5fc
20175000150,aae8a74f4f8ae372cd49e4548193ad0adf9a6b50ffa144ebc7cba214e40866ed
20175000170,618ad164e6df1b7fe67df54b20c2263d66f57e74d6c1323b31e4e64df8942b36
20175000130,dfca226508aad9359235099eac15d1485e193858fe120e280510177dadd1ccc9
20175000180,618ad164e6df1b7fe67df54b20c2263d66f57e74d6c1323b31e4e64df8942b36
2017500005A,cf7b40f9bf25bcd7a03f9efe717c6680e0cb46e1c949ce0653f783f0543bd2ad
20175000060,ff4d415ec015dc09d36a29aa9e09571a50214b16c7844573ec8a8d11bee3c0cb
20175000090,c50dace58160ba0efcdd846423b3a273aa03b11d3b6d12ca53d2517b4cddd880
20175000110,101678ab15cfbb251d059385d9d497d3a0578af59ffc0a8bae6400421629d131
2017500008B,f198aace747770db6ab149baf1bb57dff680e46682c196df69237fdba6c66224
20175000140,1c9cc72982c54f27ebeb3fb1efd9569a3655cb99eccc77bfe72ab476b8dbd77c
2017500008A,96b399f33a346cdfb116998eb6c7debf38c23e3c732e3a62e95cea60cce9d511
20175000070,7b3794f219c3e6dcc0bc0c99cc31cbbfd5935e2c01a0db0b5066332b234f9422
20175000040,6caa94c0d0f8aecd10af53198e5fcb1c0ab9d17ed1c4087510e505423aad32ca
20175000010,c784acfcd9127830737441a84b119177bfeca500519d3a88c1d18dacbd5de5f7
20175000020,cbc05c01bdaa2d64c0b0e7faef64eede8e71a89692a0ed0d64469bf6f2828119
20175000030,432304bcff9d9c851d0f0bedbc19df8f2536bab83709e79ba7af04a167fb27f4
20175000190,dd64bc7404cf5355e87f3ab9324f804980f9a41d3f4223cc1f6f242840981314
20081120030,78365c23eee93d27e545e4ad80b6c0bd23732a5702f938470b54d0171a8b694d
20081000040,b87aa30b292b002c85d9019f2d0a765c977c6229ae86834a0c0800ebbd3008ac
20067120020,bdf86d3f89ccbe7ec430561d27efd801d419e024f0f0c84daf3729876e066ac8
20081120020,1a41fa1e509ee364813e06258a44c1a3a509648e46d56bc30e8920efe5a71f3e
20081000020,08cf7dc69ce92f6b86a954754b5a23fe331feb62982ca33c88ac5986536ab5a1
20175000200,32285502d0aa325a56b327dfe5b9243a080ad3f2e94893dd2a52e5c20ad784f7
20081120050,e80d084bc98827711ebfd86f4edc3f19b0605ce8a7be1374b765048a623fd415
20081120070,d96794cffda509b874c366adf4ab42356fc156485d6806bba41f5bf8df008f2b
20081120060,945c1520c8405cd59308baa5d1587737932cac90e70b163f0247f95835d826dd
20175000210,06da3c41d94516072a54aa9642b2c4d1553bbd1a25818567cd1fc67dac62c6a5
20081000060,ff72a1fae085b548caa5f0ef65dcfb9490667982ac3e3689ce787c6645f21381
20081120040,4faf81790b55239ac0dfde360d0aec2abfba732a12b256ec89ece6c38c86c5c8
20081000010,56a992d4731f53263ebbfd6012cedeaf0b0def3936efb0495511165ec5da0940
20081000030,2b10d5f2d2ab2549fcc93070f73f9992a94f2e5dae697b0e7c61ecac0cad52bf
20083000010,27fb9de7d7137ba91dcea43ee3c89b7e03e88f123d6a9beee62491c2980bc517
20101000020,834385b182184233d14c2c3dd34482e569a241da6fc6b64718c31030c1df24f4
20101000030,0349af82f15f2ff597e4a641d70b1241f6306cac3595b8902ad23f153b6db904
20101000080,3e5f4685abb7fffb6f8c1c6f7ba3d945d1dffd414cbbbf99ef0bdfb3a8a119ca
20101000070,06b19039921e248693d037886feffe3155912c6329f43609836b53e9769498e9
20101000060,75e7cb018fd58ba6bbf0a6f4231ad126f0ae3e12c0255cbc543fbfd39ae12963
20101000050,63c971e263b69e4aca5aa255ba8b7627b4c916bf10a6d2763638cc10f1038e7d
20101000040,2e0855f909193ab223ea0963f887f174e49b583d8b82e7b0fcf02666f87ac83e
20101000110,aeb2da8b2d5588967e141c2cf91bb3cfa736209292c27fee44ab3903a78f4b14
20063000060,bbfe66f8cbd9166340e0f4c67f7fc5d06a3a4863a7e4e7e5f01ede20ba243433
20101000010,d32eca5fcf8e0e31bedfce549b226f1a4f4a1d22b06fac456d4ecf0dfa07baff
20135000020,899832b702db0dda35b9add059a3b0136be02fa58735bc571755141b730a84d0
20101000100,d9b4400af29ec37d54713176bce388e0235e350f0badd0124c0641744391188d
20135000090,77f12cee9ea0d4a26032b23add21e40e66150a034724a8f2b333e87ed5a9723c
20063000070,71c9929a8ce56dc57143d54a3232273bcd7e97433c1a6d1050886b6468016ccf
20057000270,2a58733624e071312394103caf1bab8355ad7e4828cea941be1afb79bca2c5c9
2005712003A,45f9b17ab4b6174c22c3e7bd4d586f634119b1b252abf22f0d7d91473246c4e9
20057800010,f6210377ec92ab47e872a73e3b651f0c8a3ed7fd68c4721cf70e592df8f82bdb
20057120030,f07c9579d73b53907403d1e4fd070bc7e9173229f229d8d3728559342c228385
20057120020,d848176caea51a4ebdc7a415ba59fc6438fa9010f6c2527361dacedea7f7f998
20057000090,02a7aae98c5226d7bcc8f65819b0df11c342fe26a472e9fa9949da2567489fb1
2005700008A,8f1f87e5e3fd3a986f9f58ae7b25397c5173627aeb771bfe67e05dd69dc34152
20057000100,b10183093456a14120cd70f931539e2928c1874aa4214fc4d35e5824bb915f1b
20057600010,a669232c4b60311259d03298ee561ea076d0423bf91da705c868cf621e29bd18
20083000090,dd58fe8b1ed0ad5b0e4d2a297bd89963a150d9f9ed6f4146bd76e9351f56dd03
20057000060,c2bfce58f4dc51c28d4a6818a435af5da74c0c0389e5807dc03a678180ab67ce
20057000070,ba2bbf2c5b9c193966fa61bdd786f39cb08f9969db957488edcb174e97ce38db
2005712007A,0337ee36b67f0c34503a3e488e0ad27ece7f18ddde78ab3bd11273d2ea3c4b94
20057000200,5b0040addcd8ae557f24b424a6de44ae723e3dcc2d52c1786396c7814b59f256
2005700005B,12aea9089bb9823b7e291df425ea1c18f2a07c21c990a396e55d65dd9886bb70
20057120070,68d0724f0a5645d800b3e5e0b3aa6435b5e1972fe106c06433870d5f365be31a
2005700005C,bc3a4f5d8d9aba489528e13b51edee6d5b38be7e95974858d5997813e3dac476
20057120060,81a3e73f65edd32a44af92057320d4fba0d725d62951ee5ddbd1cc6aff2fb36b
20083000060,e209e704972f7f4c2ad79c76ff25efdbccbb9be9bf314cbe773b7ffbcacf7f44
20083000080,7e62590ac5eaa7f2c8ac2f895bc042f8a32aee7494db0b9da80c982b15504ced
20083000040,3559294f3a63b435b5bcb8e22a72584270bc2978b05b26764bc8c016cd0e5c0e
20083000050,750d5a2d40323b8438dff14904cc36641baa0a90b55046755a15d969446e4164
20083000070,1141ae10e3cad2e2ace525faea43cae573d67f9a5a869efc89fcc64ef01353e5
