name,precinctid,subprecinc,census_names
Willow Springs Township Precinct 67 Part 8,67,8,
Willow Springs Township Precinct 67 Part 1,67,1,
Willow Springs Township Precinct 67 Part 7,67,7,
Lawrence Precinct 9,9,1,
Lawrence Precinct 78,78,1,
Lawrence Precinct 76,76,1,
Lawrence Precinct 75,75,1,
Lawrence Precinct 74 Part 2,74,2,
South Eudora Precinct 53 Part 4,53,4,
West Eudora Precinct 50 Part 2,50,2,
South Baldwin Precinct 62 Part 5,62,5,
Northeast Baldwin Precinct 61 Part 3,61,3,
Northeast Baldwin Precinct 61 Part 4,61,4,
North Wakarusa Precinct 64 Part 5,64,5,
Lawrence Precinct 38,38,1,
Lawrence Precinct 17,17,1,
North Eudora Precinct 52 Twp Part 4,52,4,
North Eudora Precinct 52 Twp Part 5,52,5,
South Eudora Precinct 53 H42 Twp Part 6,53,6,
South Eudora Precinct 53 Part 7,53,7,
Kanwaka Township Precinct 56 Part 6,56,6,
Clinton Township Precinct 51 Part 4,51,4,
North Wakarusa Precinct 64 H45 Part 4,64,4,
Lawrence Precinct 70 Part 2,70,2,
Kanwaka Township Precinct 56 Part 2,56,2,
Kanwaka Township Precinct 56 Part 8,56,8,
East Wakarusa Precinct 65 Part 6 S2 H46,65,6,
East Wakarusa Precinct 65 Part 2 H10,65,2,
East Wakarusa Precinct 65 H10,65,5,
WAK 000659,65,9,
WAK 000658,65,8,
Lawrence Precinct 41 Part 6,41,6,
Lawrence Precinct 41 Part 2,41,2,
Lawrence Precinct 41 Part 5,41,5,
Kanwaka Township Precinct 56 Part 7,56,7,
Clinton Township Precinct 51 Part 3,51,5,
Clinton Township Precinct 51 Part 5,51,5,
North Wakarusa Precinct 64 Part 1,64,1,
North Wakarusa Precinct 64 Part 6,64,6,
West Wakarusa Precinct 66 Part 4,66,4,
West Wakarusa Precinct 66 Part 9,66,9,
West Wakarusa Precinct 66 Part 8,66,8,
