name,aimsfid
Lexington Twp 0-01,202027015212402
Mission Hills 0-01,202027015212403
Overland Park 2-27,202027015212404
Lenexa 3-04,202027015212405
Gardner 0-11,202027015212406
Prairie Village 6-01,202027015212407
Overland Park 4-18,202027015212408
Olathe 1-13,202027015212409
Olathe 2-20,202027015212410
Shawnee 2-08,202027015212411
Olathe 2-16,202027015212412
Olathe Twp 0-32,202027015212413
Overland Park 4-06,202027015212414
Gardner Twp 0-15,202027015212415
Olathe 3-22,202027015212416
Lenexa 3-05,202027015212417
Olathe 4-08,202027015212418
Olathe Twp 0-17,202027015212419
Overland Park 3-20,202027015212420
Olathe 1-04,202027015212421
Olathe Twp 0-13,202027015212422
Shawnee 2-11,202027015212423
Overland Park 6-13,202027015212424
Merriam 2-01,202027015212425
Overland Park 6-11,202027015212426
Olathe 2-09,202027015212427
Gardner Twp 0-02,202027015212428
De Soto 0-03,202027015212429
Olathe Twp 0-06,202027015212430
Gardner Twp 0-06,202027015212431
Gardner Twp 0-07,202027015212432
Olathe Twp 0-01,202027015212433
Fairway 4-02,202027015212434
Gardner Twp 0-10,202027015212435
Overland Park 2-12,202027015212436
Olathe 3-07,202027015212437
Lenexa 1-02,202027015212438
Overland Park 5-08,202027015212439
Overland Park 1-08,202027015212440
Overland Park 3-05,202027015212441
Gardner 0-03,202027015212442
Shawnee 1-12,202027015212443
Overland Park 1-11,202027015212444
Westwood 0-02,202027015212445
Olathe 3-20,202027015212446
Shawnee 3-09,202027015212447
Prairie Village 2-02,202027015212448
Mission Hills 0-02,202027015212449
Gardner 0-16,202027015212450
Olathe 2-03,202027015212451
Overland Park 2-08,202027015212452
Gardner Twp 0-20,202027015212453
De Soto 0-07,202027015212454
Olathe 3-24,202027015212455
Lenexa 1-03,202027015212456
Overland Park 3-18,202027015212457
Overland Park 5-11,202027015212458
Shawnee 1-11,202027015212459
Edgerton 0-04,202027015212460
Lenexa 1-08,202027015212461
Prairie Village 5-03,202027015212462
Overland Park 2-09,202027015212463
Prairie Village 6-02,202027015212464
Westwood 0-01,202027015212465
Olathe 3-04,202027015212466
Leawood 1-07,202027015212567
Gardner 0-05,202027015212568
Olathe 2-07,202027015212569
Overland Park 2-13,202027015212570
Olathe 1-04,202027015212571
Overland Park 3-15,202027015212572
Oxford Twp 0-11,202027015212573
Olathe 2-06,202027015212574
Olathe 1-26,202027015212575
Shawnee 3-05,202027015212576
Olathe 1-12,202027015212577
Overland Park 2-11,202027015212578
Lenexa 1-01,202027015212579
Shawnee 3-08,202027015212580
Olathe 1-11,202027015212581
Overland Park 1-04,202027015212582
Shawnee 1-05,202027015212583
Lenexa 4-08,202027015212584
Olathe 4-02,202027015212585
Lenexa 4-12,202027015212586
Overland Park 5-04,202027015212587
Gardner Twp 0-01,202027015212588
Shawnee 1-08,202027015212589
Prairie Village 5-01,202027015212590
Lenexa 3-02,202027015212591
Shawnee 2-05,202027015212592
Gardner Twp 0-02,202027015212593
Shawnee 4-10,202027015212594
Spring Hill 0-01,202027015212595
Oxford Twp 0-01,202027015212596
Oxford Twp 0-09,202027015212597
Shawnee 2-10,202027015212598
Shawnee 3-01,202027015212599
Shawnee 3-02,202027015212600
Oxford Twp 0-02,202027015212601
Overland Park 1-13,202027015212602
Fairway 2-01,202027015212603
Lenexa 2-07,202027015212604
Lenexa 2-06,202027015212605
Overland Park 3-14,202027015212606
Prairie Village 4-02,202027015212607
Lenexa 1-09,202027015212608
Shawnee 1-03,202027015212609
Oxford Twp 0-04,202027015212610
Olathe 4-18,202027015212611
Shawnee 1-06,202027015212612
Overland Park 1-01,202027015212613
Overland Park 6-04,202027015212614
De Soto 0-03,202027015212615
Overland Park 5-15,202027015212616
Olathe 2-08,202027015212617
Lenexa 2-09,202027015212618
Olathe 3-12,202027015212619
Olathe 1-21,202027015212620
Shawnee 1-09,202027015212621
Lenexa 1-06,202027015212622
Leawood 1-02,202027015212623
Overland Park 3-06,202027015212624
Overland Park 1-05,202027015212625
Oxford Twp 0-08,202027015212626
Shawnee 3-04,202027015212627
Shawnee 2-12,202027015212628
Edgerton 0-06,202027015212629
Gardner 0-17,202027015212630
Olathe 1-01,202027015212631
Lenexa 2-03,202027015212632
Shawnee 3-05,202027015212633
Olathe 2-11,202027015212634
Shawnee 1-04,202027015212635
Overland Park 4-10,202027015212636
Overland Park 2-07,202027015212637
Mission 4-01,202027015212638
Gardner 0-06,202027015212639
Leawood 4-02,202027015212640
McCamish Twp 0-01,202027015212641
Overland Park 1-15,202027015212642
Olathe Twp 0-11,202027015212643
Lenexa 2-09,202027015212644
Merriam 3-02,202027015212645
Overland Park 6-17,202027015212646
Olathe Twp 0-02,202027015212647
Overland Park 4-01,202027015212648
Merriam 4-02,202027015212649
Lenexa 4-06,202027015212650
Merriam 4-01,202027015212651
Gardner Twp 0-04,202027015212652
Lenexa 2-05,202027015212653
Fairway 1-01,202027015212654
Olathe 1-14,202027015212655
Gardner Twp 0-11,202027015212656
Shawnee 3-05,202027015212657
Olathe 1-02,202027015212658
Gardner 0-13,202027015212659
Prairie Village 1-01,202027015212660
Overland Park 2-05,202027015212661
Olathe 3-01,202027015212662
Olathe 1-27,202027015212663
Shawnee 2-06,202027015212664
Overland Park 5-12,202027015212665
Olathe 4-14,202027015212666
Olathe 4-09,202027015212667
