precinct,geosha
101,d03cfb71ca484e61608e4c2cd7473897562756de6acade57ee079e4a7c2421cc
102,011bd88dc6ba7bbed85e96d8e9596a0e5b7c568a9c2b3b7a7fc6a744681a509a
103,a883d1c3fff281b58aee962b45b97f1595fc10cebbd777bf9da25b12803f7c98
104,2b4f661ec732bd10866799959c8f94a3fb6a2da08075415ab96d54bd64922e5e
105,63323357af72f413224e598d5febc63f01c68b688dd945108d807ca3405432d7
106,fe09915e2edd562c9ff6ea5fa51f7864db990e0e6642dc7894cf0b91f1bac2e9
107,576faaa15f4d5a02e32bac76eec8c49ada2ff39889f8b1811ca7ebb6deec4ea2
108,0e9e3e37e05be65a4896642c7f0583b96abb0e64c45f514bf322cb453980bdc0
109,cf8b1ad347a70066bd6392f44d0b39db8c2381280010a2bd69bd7fa11f6fc718
110,1cf597220982630736930e0fe4c2fb86a825134ccca548c178f264136162d134
111,810ac28d0a10886a02947939d31d8445778c4ed565799be73bc49106520b21f2
112,0668390f48816e22333d276b0fb20d7e0823f0ebc81d353b50be31fb8d89b6c3
113,afea9198405e27ec02b04273681ad1982c58cd4e46405fd6a75d505cc478b7d2
114,c89c0239593851b316ae216c964318a23cf18da5f617e407a251d74802a4ffa2
115,3c35ef77f2b9c4124d42fd83d711cbbf7802857cf56a302c7e63a1650bd2f384
116,c3505dbc2aaa1ae506bf67c01a94dc287f9a71199be603abda504f85c2d98843
117,d74b8b739a7fcb64a5d2aacdfbc27cdb52e4ef1b410ea89771168b8782da2c6e
118,527af3c09a550713725a783adc7726b4cf15642848ef046518b33bbdcd9b9502
119,87f906b1fb327f9cb8765fef2792c99ffc019650855666010bc21555b9e981fe
120,a84bde792485187d4979c869d4d1b43f4feb06ca981048c3c5f81af06bd0242d
121,0584ad149eed0aec604f38334d4968f9ab12474b7f292dea8bfa352906603aec
122,bf8d9583acae1c3ba83ec96a0f542fb8710562dbda44e837641352bfa5cc54ae
123,449d30ae6c88464d3bbd48d709beacd9a8447497abbbda3b081c31290c5e550e
124,71debed4581fdbfef971887657fb1efa98980b4f0ab454bd1531f3b8709d4bc0
126,150cbb9b5e5923bbf16996b8b5ebc5d01456b66cfd213720a360b95b5de46af6
127,14313ec996a2557dd0334cfb8524547c85e3120a09788655079aae5c78c250a9
128,608df8185333e3255d0f89f5b29c0f4d8ec5ff6c3e143556dc07f41c8803f32b
129,f8311966e6126888feea97c483e5a0f942384a9b133dcc6be62bd2bb2534d865
130,0ef02c5e1f35505b5fcdb25739aafb784498e9f09d8264042dcc8a3919f4d625
133,aaa9c108a71b38905b1334d8a45aa6c2102d060e9648baacc564d3159e4765d3
134,c939860a8c1fe64cbc559abb6fa610a79c947464341c8415ee394078d1e09a7a
205,64c637a301e870e5d1445d34f8e2d528f74028ad3261bf975500b080d12f3c24
206,a0b476665b84c12d9568036a4f4b8da3c7c238336e98915772633f11a9ee28cb
207,250ffdeaf5bcb233b15a9798ced65b78e766bd0a81ce09f4bf24b4897f1aae31
208,c71b3c1866943a0381413e4ef0483fb4ad10c1c9af50bb5c9db4e428a6e9a24b
209,349093ce44549b9908fd89f3cfdd980f46d0aefbfe61374e5342ed4f34a59ee1
210,a0b476665b84c12d9568036a4f4b8da3c7c238336e98915772633f11a9ee28cb
211,b36fd71c48e72e3bd865318ab9ef48407c23de5ab98ac5592069973cd58cc786
212,d6274bbf2a0f5beaaa37ad398950c29eee2ecd0d67d84e702d17201686547e79
213,b68757718545155671a59647665088f37dc8fce5392dabf9f50a7b146f8e540c
214,766e88b25ffd6dca8251cae8505ee9343dc1a916d283e4b48bef2a5881601cf4
215,f8eafe1a3f157e3f0e600d22b093d33f027e4c9a628afbd6c5ce2aa0765ecaf2
216,33e7110679217eaf88beeb5a7c08466daf30fc282e9023cfe6472446fd29565c
217,1e425f05520d92e71cb05baf7134758cbe4bc3b9b803024f02418a2ed16cfcb9
218,e04f816b9b8180142a4c124f2e6bdef78ca8abdb748eddbeea5be5749cdbcd78
219,541b2005130e7074c49b75408f98cb1a2fbd56b55d73ae1e4a4eae16a11c2ab0
221,a40f3798af0a815160e4e68517ca2338b6061d421b255c6ef08c9a886cd2bc7b
222,f16bcc586763e0bf2b07a654d9893580cf933455dc0d0287194ac079a5562adc
223,1ee53c201bf34bea8b046be38f78d32fad0538463d4f0ce581a115f046e29821
224,e1add6521b55542084afa8e30ebd6ed657a511f4c56e3296abd1d3b3baf044c4
225,1bbd7a98c9812240b737847451f0f157ae8692125ffde3424561722f34ffa981
226,c37a1573d360fd5e7b1270091c599905e5c011d2feb1c96e6a15cb230f56546d
227,609e50f03b9d29a52be1189ce1e1f558fc4f0df17e8467cfab1573bfdf8c2089
228,9d4fee5d23063db5a90950307462bcc50d9229f4c263b4a7dd1fac9abebd3e00
230,3dd31d31306798953bd9c559faeb76d71081343a3b12aa1c30aff4df32eb4002
233,7f52e2fa7ec6a6deb715af29bf4a35da3aac4b89f9494aef6abb817f3180f942
235,5fd2d5ab51cb22c0f4acaa4e2a5282a8075cb9d40f561719d594a1283e5d6923
236,ed467d1127e94f05db27ea60b64391a68cefbae5a4427dc2509f193befafdfcc
237,9c67d4797c90dd0aaa4117fcceb5a01d7e1ac36acebdd839a8a4af8c048ece7f
238,4de38165334c686af30bc7695cf940c9b19654dbbcbe668420400753fa9533a5
239,351228dac588dd8c6a082c390d71454d3975c24a8e40440bfae1e9ec41d557ee
240,b38cbdc21198207b110e79a690ecc85af4d5ba087a42a09a1c43b9588c136fd4
241,62ca8a7ca16ef2cab4fc84e6bf5935fd2ae219e0c6aed0deb7287c047b037049
242,b4f0ada57b5bc5f3198986de6392f658c8b9df7e47a1f72e2d4e03e79afa6530
243,a07bf7f6c267c8a57030b172a41ee229976976f47523ae4e321d6dfb9435dac2
245,49d56167b277d1db9a36bd8d846ef27146a3e7d855edbaed3599649f35cca6b3
246,5c80c10e0d862e0a1e6f050fed57e02b87640c3cb6e2704dd9d0ff4c822dc486
247,993244ab74fd96ead3ac251d3ef470f4c27ef654248745a88002544e84fc3acd
301,7c327ab181347bd1b83ae201961299f06ec8419791412e4e6c5ed6357bb70e1a
302,0063f8a39aed6984dff6002ef6db025e104ac4ab08f506812cbe5c4c1ed4a0c0
303,563441912e24cfc298725041b8c0b16396749789669ee5051203f231ead72eec
304,e8503efa53adc3764529f0d55eff010dcfcabf5f62d33285db37b21b48cb703e
305,1476e0481b5f6291974e08b179721807b93da02414a37f3256e11c45fb3382b4
306,ea1be40f0cfe002ad69c79f1a0cb2be8b2db8cfa849bdd9c170689a4bd9c7ede
307,3b83f3f9c0db9a1d0db79561fa50eb87deb0d7b016941b46d2a58911e1582b0c
308,c65f85e618138ced72315b898838168786afd4f616b39b5486f68bae4c475c66
309,38242b4f4674c8a3bf0cd0a9a653edebc2cbc970b2e92c31e060c25d68bf42d6
310,242ff123996afb0f91e7418d7c52d2e8c15646676f59ba63cabe7e2c264cdc89
311,af83027c869277e5b5a7baa691185130a29e22dccdbff9530bcd2dd8bbf00354
312,d40866ba4524678ab746c14fc3283d6090647d3bd0211861f233f355d314f389
313,8f0cf047ea1351aabccefbe12b2e52cc7ad230e787448cfdfa0006135facb17b
314,1bb3c5ac26641540eaed9e9f4c094cdb93134ecfde79c243d99983cc5c367a54
315,04e032a98d3e279b5ad1199f216abf84eb4b8135b6b6dc484cff022f2bb2c2de
316,0843ec9c9617473468a9cba9b0f69506429c7271d1ec5a7d7875f44a44685e33
317,4bd619c9fd59dabb4554f4f96d62d1f194d94398210e041aef8b382444306d53
318,a22407c5cf5ccf7e1668dd726e96db19742f28cbfed109dfd6433ce1af2206d6
319,502002d1c088b912f315b5ca05a630d80767af509d4e66a94a496dcd6aa72392
320,d431aa02c4bd3e307c077cadf60a0aa9b89870ec2d5eb8e3dfe6238eca8f1f79
321,489eb97d3bc7ec760a77de468f3149cd1300b34f4c85acbff28f1023125e4e0e
322,7c1627e88e096e277338640a3ddc1781ebf75c7899d5eb58ee88e20352e01db3
324,bbff57fbf9d46b97fe4d2730390015503a55637a6534ac97a458f74c2ec7b4e1
325,1e8cb06d70b888d6b4ebd54261433dafac2abbf55e58879af8f5e3fb7550bdde
326,aba1acdfd1741c178dc157041829db61c961e876bebf5954ce1905a93d87d897
327,f288f7bf824d94c9bcdb327013053b07ce75250c68b31bc7f7700d8195a4b70c
328,1653776b5b46135bcd4fb11d0b20f671bdd09410f3bfaf412e505d5c2ed50bf7
329,41476feca99369f891808be621a570d8bae16379211a6318ab22cf72b4255a3c
401,4a205c2f6ea973268aaac583ebb8195d2fc6127d3345d59406e7ae8d7647fb8b
402,4fc2fbbe6b848f343bc5a8388fc630f04f61a8e6d99eeb4945d2a63a9c45d777
403,c80e94e25445a0c5b3a81ee0dc6a8845d19561480d86e74cd747bfec888e71ef
404,ed91eee6253e9e0bf981f5841d0d111c5adbf27b2843ff9c687a009f07c6fc14
405,5e9c38080eef662a69edc5e2461b5dfd1d89e6d877af12e9c5250c46fffd1311
406,097ab23164bbd7a8ddc13ec3b6ad0703b07306126db31840ecb52dc41b95b944
407,354e9b276466ce36316b4934c274fd001bb1be9eed84486a1a2adc44e7373d39
408,3bc7e8aae856f99a2c73c0063257977583c241bd2cad218c15f8609c263c0949
409,adc3d4c7c1ac999e34bc51ea383c99242d9d05fa1f790206e1b53375c0c0fb09
410,79038df0a8326600fca56e3107f160e942806c9a9a6eb6f350401a28142c229f
411,a7a88ebbbdc8f4da401fb775d64fd2869a3a97cfae799acf963db3a4330f373e
412,e7f052ebc9c76acd2154c635d498fb32a7d4cb2b6d88d5ff6818b40d4b3d1525
413,60c2eb43ff4d95e331913f8566eea522864cc9a84c18a5bc59f0306e31074c69
414,08884f0350b303afe8b33dc93191a08465af96266e1d84909db3c4322e813c95
