"precinct","county_id","county","vtd_2012","census_tracts"
"Kenneth - West","90","Sheridan",,
"Oak Precinct","92","Smith",,
"South. St. John","93","Stafford",,
"Hugoton Ward 3 Precinct 2","95","Stevens",,
"Hugoton Ward 4 Precinct 2","95","Stevens",,
"Hugoton Ward 5 Precinct 2","95","Stevens",,
"Hugoton Ward 6 Precinct 2","95","Stevens",,
"Hugoton Ward 7 Precinct 2","95","Stevens",,
"Hugoton Ward 8 Precinct 2","95","Stevens",,
"Belle Plaine H 79","96","Sumner",,
"Belle Plaine H 82","96","Sumner",,
"Gore H 79","96","Sumner",,
"Gore H 82","96","Sumner",,
"Mulvane","96","Sumner",,
"SEVENTY-SIX","96","Sumner",,
"WELLINGTON CITY 1 H80","96","Sumner",,
"WELLINGTON CITY 2 116","96","Sumner",,
"Wellington Township H 116","96","Sumner",,
"Wellington Township H 80","96","Sumner",,
"Write-ins","96","Sumner",,
"Hale Township/Brewster","97","Thomas",,
"Eskridge","99","Wabaunsee",,
"Wabaunsee","99","Wabaunsee",,
"Wabaunsee 17","99","Wabaunsee",,
"Wabaunsee 18","99","Wabaunsee",,
"Wabaunsee Township","99","Wabaunsee",,
"Sharon Sprs 3","100","Wallace",,
"Sharon Sprs 4","100","Wallace",,
"PRECINCT 1","102","Wichita",,
"PRECINCT 2","102","Wichita",,
"PRECINCT 3","102","Wichita",,
"OC 1-1","105","Wyandotte",,
